Name,Sub Name,Category,Rating,Reviews Count,City,Phone,Phone Valid,Email,Address,Website,URL,Kelurahan,Kecamatan,Kota/kabupaten,Provinsi
Solo Flower Bouquet,Solo Flower Bouquet,Florist,,,Surakarta City,0878-7986-0963,6287879860963,,Jl. Grogolan, RT.01/RW.04, Ketelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132,,https://www.google.com/maps/place/Solo+Flower+Bouquet/data=!4m7!3m6!1s0x2e7a170a216953d7:0xcbfad5bdd5f367a3!8m2!3d-7.5622188!4d110.8200455!16s%2Fg%2F11t5yrkrnp!19sChIJ11NpIQoXei4Ro2fz1b3V-ss?authuser=0&hl=en&rclk=1,Ketelan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57132
Rumah Bungaku,Rumah Bungaku,Florist,5.0,26,Surakarta City,0815-6714-739,628156714739,,Pasar kembang, Jl. Honggowongso, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141,,https://www.google.com/maps/place/Rumah+Bungaku/data=!4m7!3m6!1s0x2e7a167c60353afb:0xc5720ff2429231fb!8m2!3d-7.5723873!4d110.8164508!16s%2Fg%2F11b6z38lqm!19sChIJ-zo1YHwWei4R-zGSQvIPcsU?authuser=0&hl=en&rclk=1,Sriwedari,Kec. Laweyan,Surakarta City,Jawa Tengah 57141
Solokini Flora,Solokini Flora,Florist,4.9,9,Surakarta City,0812-2973-178,628122973178,,Jl. R. M. Said No.75, Ketelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132,,https://www.google.com/maps/place/Solokini+Flora/data=!4m7!3m6!1s0x2e7a178d197cbd2f:0x6552f546905efe41!8m2!3d-7.5626534!4d110.8200791!16s%2Fg%2F11f61dcztz!19sChIJL718GY0Xei4RQf5ekEb1UmU?authuser=0&hl=en&rclk=1,Ketelan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57132
Rosari Florist,Rosari Florist,Florist,4.8,23,Surakarta City,0822-4110-9119,6282241109119,,Jalan Apel III No. 1 K, Kerten, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57143,,https://www.google.com/maps/place/Rosari+Florist/data=!4m7!3m6!1s0x2e7a143ea7bbd56f:0xcb3e9c6a04579747!8m2!3d-7.554062!4d110.7911315!16s%2Fg%2F1pxq9rhm6!19sChIJb9W7pz4Uei4RR5dXBGqcPss?authuser=0&hl=en&rclk=1,Kerten,Kec. Laweyan,Surakarta City,Jawa Tengah 57143
Karima Florist,Karima Florist,Florist,5.0,27,Surakarta City,0822-2691-7676,6282226917676,,Jl. Srigading III No.5, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139,,https://www.google.com/maps/place/Karima+Florist/data=!4m7!3m6!1s0x2e7a170c846de793:0x88da1b95812030b9!8m2!3d-7.5618115!4d110.8146995!16s%2Fg%2F11rc6l2fgz!19sChIJk-dthAwXei4RuTAggZUb2og?authuser=0&hl=en&rclk=1,Mangkubumen,Kec. Banjarsari,Surakarta City,Jawa Tengah 57139
Anna Florist Solo,Anna Florist Solo,Florist,5.0,8,Surakarta City,0815-6738-084,628156738084,,Jl latar putih no 24 mutihan, RT.02/RW.11, Sondakan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57147,annafloristsolo.com,https://www.google.com/maps/place/Anna+Florist+Solo/data=!4m7!3m6!1s0x2e7a15f3326a3989:0x8b15c88dbcd78abe!8m2!3d-7.5651493!4d110.7889!16s%2Fg%2F11rw7bpdgz!19sChIJiTlqMvMVei4RvorXvI3IFYs?authuser=0&hl=en&rclk=1,Sondakan,Kec. Laweyan,Surakarta City,Jawa Tengah 57147
Maxima Flower & Gift,Maxima Flower & Gift,Florist,5.0,2,Surakarta City,0888-2955-552,628882955552,,Jl. Letjen S. Parman No.152, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134,instagram.com,https://www.google.com/maps/place/Maxima+Flower+%26+Gift/data=!4m7!3m6!1s0x2e7a1754a754df0b:0x198712a3801c31cf!8m2!3d-7.5536617!4d110.8233551!16s%2Fg%2F11tsjpcnjr!19sChIJC99Up1QXei4RzzEcgKMShxk?authuser=0&hl=en&rclk=1,Gilingan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57134
Ocha Orchid,Ocha Orchid,Wholesale florist,5.0,1,Surakarta City,0878-7291-9090,6287872919090,,Belakang Mangkunegaran, Jl. R. M. Said, Ketelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132,,https://www.google.com/maps/place/Ocha+Orchid/data=!4m7!3m6!1s0x2e7a171f12eda14d:0x9c56ada6100882e!8m2!3d-7.5647623!4d110.8230426!16s%2Fg%2F11tm_mj0hj!19sChIJTaHtEh8Xei4RLogAYdpqxQk?authuser=0&hl=en&rclk=1,Ketelan,Kec. Banjarsari,Surakarta City,Jawa Tengah 57132
Audi Flower Studio,Audi Flower Studio,Florist,5.0,2,Surakarta City,0895-6032-95725,62895603295725,,Jl. Purworejo No.8, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139,,https://www.google.com/maps/place/Audi+Flower+Studio/data=!4m7!3m6!1s0x2e7a176c3007712b:0x3cc736899c7fcdfc!8m2!3d-7.5576565!4d110.81101!16s%2Fg%2F11snpwbwdh!19sChIJK3EHMGwXei4R_M1_nIk2xzw?authuser=0&hl=en&rclk=1,Mangkubumen,Kec. Banjarsari,Surakarta City,Jawa Tengah 57139
Buket Bunga Ajisai.Flo Solo,Buket Bunga Ajisai.Flo Solo,Florist,5.0,20,Surakarta City,0857-0256-9569,6285702569569,,Jl. Kahuripan Barat 3 No.39, Sumber, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57138,shopee.co.id,https://www.google.com/maps/place/Buket+Bunga+Ajisai.Flo+Solo/data=!4m7!3m6!1s0x2e7a1585ed34b6f9:0x164c073aefd28ebf!8m2!3d-7.548926!4d110.806303!16s%2Fg%2F11n723s2gc!19sChIJ-bY07YUVei4Rv47S7zoHTBY?authuser=0&hl=en&rclk=1,Sumber,Kec. Banjarsari,Surakarta City,Jawa Tengah 57138
Surakarta Flowers,Surakarta Flowers,Florist,4.9,7,Surakarta City,0856-4748-0808,6285647480808,,Jl. Siwalan, Kerten, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144,,https://www.google.com/maps/place/Surakarta+Flowers/data=!4m7!3m6!1s0x2e7a15a06afbd735:0xede8bdd9a50eb6c0!8m2!3d-7.5567047!4d110.7898316!16s%2Fg%2F11h9lhwmr6!19sChIJNdf7aqAVei4RwLYOpdm96O0?authuser=0&hl=en&rclk=1,Kerten,Kec. Laweyan,Surakarta City,Jawa Tengah 57144
Sekar melati garden,Sekar melati garden,Florist,5.0,5,Kota Surakarta,0813-9143-4440,6281391434440,,CRR8+Q27, Jl. Hasanudin, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132,,https://www.google.com/maps/place/Sekar+melati+garden/data=!4m7!3m6!1s0x2e7a17d84019ce41:0x464d1a3356db9647!8m2!3d-7.5580739!4d110.8150355!16s%2Fg%2F11tmqp89r1!19sChIJQc4ZQNgXei4RR5bbVjMaTUY?authuser=0&hl=en&rclk=1,Mangkubumen,Kec. Banjarsari,Kota Surakarta,Jawa Tengah 57132
